epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1412.45,0,44.7869,0,0,0,0,0,0,14.8896,0,0.000472461,0.000472461,0.000472461
2,84270.7,0,0.17936,0,0,0,0,0,0,0.02691,0,0.000930008,0.000930008,0.000930008
3,85712.6,0,0,0,0,0,0,0,0,0.00027,0,0.00136869,0.00136869,0.00136869
4,87070,0,0,0,0,0,0,0,0,0.03856,0,0.00134412,0.00134412,0.00134412
5,112977,0,0,0,0,0,0,0,0,0.15781,0,0.00131582,0.00131582,0.00131582
6,256743,0,0,0,0,0,0,0,0,1.43869,0,0.00128753,0.00128753,0.00128753
7,258363,0,0,0,0,0,0,0,0,1.00844,0,0.00125923,0.00125923,0.00125923
8,260780,0,0,0,0,0,0,0,0,0.97839,0,0.00123094,0.00123094,0.00123094
9,277096,0,0,0,0,0,0,0,0,3.9966,0,0.00120265,0.00120265,0.00120265
10,278842,0,0,0,0,0,0,0,0,4.12709,0,0.00117435,0.00117435,0.00117435
11,280559,0,0,0,0,0,0,0,0,4.95326,0,0.00114606,0.00114606,0.00114606
12,282267,0,0,0,0,0,0,0,0,6.83908,0,0.00111776,0.00111776,0.00111776
13,284690,0,0,0,0,0,0,0,0,8.66286,0,0.00108947,0.00108947,0.00108947
14,287151,0,0,0,0,0,0,0,0,7.63311,0,0.00106118,0.00106118,0.00106118
15,288849,0,0,0,0,0,0,0,0,7.84,0,0.00103288,0.00103288,0.00103288
16,290556,0,0,0,0,0,0,0,0,6.35407,0,0.00100459,0.00100459,0.00100459
17,292257,0,0,0,0,0,0,0,0,30.8589,0,0.000976293,0.000976293,0.000976293
18,294374,0,0,0,0,0,0,0,0,17.0234,0,0.000947999,0.000947999,0.000947999
19,296172,0,0,0,0,0,0,0,0,14.6244,0,0.000919704,0.000919704,0.000919704
20,297441,0,0,0,0,0,0,0,0,25.0135,0,0.00089141,0.00089141,0.00089141
