epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.51,1.1802,4.07065,1.52701,0.12739,0.3142,0.10216,0.07085,0.77885,9.06054,1.16898,0.00015719,0.00015719,0.00015719
2,188.608,0.83605,3.28998,1.24389,0.26404,0.35823,0.21247,0.1693,0.78026,3.56142,1.15582,0.000322162,0.000322162,0.000322162
3,282.928,0.94839,2.59731,1.36904,0.27445,0.42308,0.10885,0.09421,1.06187,5.92655,1.38184,0.000480344,0.000480344,0.000480344
4,376.703,1.04954,2.48989,1.39525,0.31567,0.29231,0.21104,0.13098,1.05419,5.14475,1.55828,0.000631735,0.000631735,0.000631735
5,461.971,1.01908,2.41221,1.3837,0.13689,0.23333,0.12384,0.06479,1.18092,4.98369,1.77362,0.000776336,0.000776336,0.000776336
6,549.247,1.02934,2.43461,1.35677,0.40566,0.23462,0.17337,0.10118,1.30438,4.14792,1.78475,0.000914146,0.000914146,0.000914146
7,636.976,1.08215,2.29405,1.4157,0.22171,0.21923,0.13628,0.06609,1.5152,8.04233,2.02028,0.00104516,0.00104516,0.00104516
8,724.419,1.24816,2.41877,1.53759,0.06347,0.28846,0.09294,0.04949,1.3922,9.66217,1.80286,0.00116939,0.00116939,0.00116939
9,823.291,1.01905,2.37841,1.37336,0.08442,0.20897,0.09542,0.04797,1.33166,16.9219,1.72484,0.00120265,0.00120265,0.00120265
10,926.03,1.09904,2.46001,1.40709,0.11469,0.11795,0.11845,0.08614,1.60449,8.02639,1.87632,0.00117435,0.00117435,0.00117435
11,1028.29,1.25731,2.50347,1.5149,0.09341,0.47949,0.10158,0.06397,1.29969,5.25095,1.70637,0.00114606,0.00114606,0.00114606
12,1132.41,1.1626,2.3442,1.45397,0.11925,0.37051,0.09525,0.04936,1.59131,5.69151,2.0094,0.00111776,0.00111776,0.00111776
13,1235.33,1.02817,2.49567,1.33268,0.09238,0.16923,0.0911,0.0354,1.63008,14.4765,2.06434,0.00108947,0.00108947,0.00108947
14,1339.34,1.02398,2.27453,1.35984,0.15887,0.14359,0.12998,0.09219,1.24861,11.7342,1.68232,0.00106118,0.00106118,0.00106118
15,1441.85,1.29856,2.34078,1.63078,0.10059,0.25511,0.14162,0.10367,1.22316,3.86015,1.69014,0.00103288,0.00103288,0.00103288
16,1545.41,1.10822,2.1549,1.43299,0.17558,0.26026,0.15009,0.08285,1.33363,3.12991,1.79243,0.00100459,0.00100459,0.00100459
17,1648.95,1.14052,2.33179,1.52127,0.23589,0.39933,0.17561,0.10312,1.10429,2.52392,1.54463,0.000976293,0.000976293,0.000976293
18,1752.06,1.03809,2.21842,1.38905,0.46344,0.27179,0.16302,0.10185,1.32937,3.15844,1.7274,0.000947999,0.000947999,0.000947999
19,1856.06,0.97831,2.35345,1.30665,0.45555,0.26154,0.14325,0.08825,1.24521,5.42338,1.57602,0.000919704,0.000919704,0.000919704
20,1959.11,1.0009,2.10153,1.3742,0.13077,0.24359,0.11405,0.0743,1.15671,4.08218,1.44259,0.00089141,0.00089141,0.00089141
21,2066.02,1.07738,2.05813,1.41019,0.17205,0.4859,0.1514,0.08965,1.01552,2.58739,1.43561,0.000863116,0.000863116,0.000863116
22,2170.93,1.00059,2.23875,1.4151,0.19779,0.45656,0.16128,0.09159,0.99579,2.5026,1.44356,0.000834822,0.000834822,0.000834822
23,2261.43,1.01509,1.91079,1.35198,0.1984,0.31108,0.17574,0.11717,1.43258,2.8559,1.74418,0.000806528,0.000806528,0.000806528
24,2351.62,1.02417,1.84933,1.40674,0.76055,0.1,0.10459,0.07858,1.08075,2.63418,1.50145,0.000778233,0.000778233,0.000778233
25,2445.98,1.06562,1.81367,1.35579,0.43575,0.27564,0.17995,0.12828,0.9538,3.02477,1.34361,0.000749939,0.000749939,0.000749939
26,2549.12,0.86308,1.8445,1.26372,0.25509,0.5673,0.2473,0.20466,0.91652,2.44534,1.38258,0.000721645,0.000721645,0.000721645
27,2639.84,0.95283,2.01773,1.28804,0.36999,0.32673,0.28002,0.23322,0.93858,2.05702,1.3321,0.000693351,0.000693351,0.000693351
28,2730.73,0.85812,1.93953,1.21814,0.23866,0.37692,0.27556,0.24006,0.9093,2.29825,1.2424,0.000665057,0.000665057,0.000665057
29,2822.76,0.82949,1.7961,1.25419,0.489,0.2525,0.3252,0.26782,0.97183,2.45854,1.36073,0.000636762,0.000636762,0.000636762
30,2914.03,0.79763,1.70258,1.21683,0.34229,0.33809,0.27314,0.20718,0.92219,2.54119,1.32902,0.000608468,0.000608468,0.000608468
31,3004.6,0.85194,1.76301,1.2547,0.28565,0.5141,0.32131,0.20976,0.97404,2.57178,1.39163,0.000580174,0.000580174,0.000580174
